sta/5NPW	7800cdf59c655d20fb292a1463db333a	583	FunFam	G3DSA:3.10.20.620:FF:000001	Autophagy related 5	22	123	3.0E-55	T	24-01-2023	-	-
sta/5NPW	7800cdf59c655d20fb292a1463db333a	583	FunFam	G3DSA:1.10.246.190:FF:000001	Autophagy related 5	124	181	2.1E-37	T	24-01-2023	-	-
sta/5NPW	7800cdf59c655d20fb292a1463db333a	583	Gene3D	G3DSA:3.10.20.620	-	22	123	3.7E-109	T	24-01-2023	IPR042527	Autophagy protein Atg5, UblA domain	-	Reactome: R-BTA-1632852|Reactome: R-BTA-5205685|Reactome: R-BTA-8934903|Reactome: R-CEL-1632852|Reactome: R-CEL-5205685|Reactome: R-CEL-8934903|Reactome: R-DDI-1632852|Reactome: R-DDI-8934903|Reactome: R-DME-1632852|Reactome: R-DME-5205685|Reactome: R-HSA-1632852|Reactome: R-HSA-5205685|Reactome: R-HSA-8934903|Reactome: R-HSA-936440|Reactome: R-MMU-1632852|Reactome: R-MMU-5205685|Reactome: R-MMU-8934903|Reactome: R-RNO-1632852|Reactome: R-RNO-5205685|Reactome: R-RNO-8934903|Reactome: R-SCE-1632852|Reactome: R-SCE-8934903|Reactome: R-SPO-1632852|Reactome: R-SPO-8934903
sta/5NPW	7800cdf59c655d20fb292a1463db333a	583	MobiDBLite	mobidb-lite	consensus disorder prediction	564	583	-	T	24-01-2023	-	-
sta/5NPW	7800cdf59c655d20fb292a1463db333a	583	PANTHER	PTHR13040	AUTOPHAGY PROTEIN 5	9	279	4.5E-104	T	24-01-2023	IPR007239	Autophagy-related protein 5	GO:0005737|GO:0006914	Reactome: R-BTA-1632852|Reactome: R-BTA-5205685|Reactome: R-BTA-8934903|Reactome: R-CEL-1632852|Reactome: R-CEL-5205685|Reactome: R-CEL-8934903|Reactome: R-DDI-1632852|Reactome: R-DDI-8934903|Reactome: R-DME-1632852|Reactome: R-DME-5205685|Reactome: R-HSA-1632852|Reactome: R-HSA-5205685|Reactome: R-HSA-8934903|Reactome: R-HSA-936440|Reactome: R-MMU-1632852|Reactome: R-MMU-5205685|Reactome: R-MMU-8934903|Reactome: R-RNO-1632852|Reactome: R-RNO-5205685|Reactome: R-RNO-8934903|Reactome: R-SCE-1632852|Reactome: R-SCE-8934903|Reactome: R-SPO-1632852|Reactome: R-SPO-8934903
sta/5NPW	7800cdf59c655d20fb292a1463db333a	583	CDD	cd22887	Atg16_CCD	396	485	1.73527E-28	T	24-01-2023	-	-
sta/5NPW	7800cdf59c655d20fb292a1463db333a	583	Gene3D	G3DSA:3.10.20.90	-	18	274	3.7E-109	T	24-01-2023	-	-
sta/5NPW	7800cdf59c655d20fb292a1463db333a	583	Pfam	PF04106	Autophagy protein Apg5	86	276	3.8E-62	T	24-01-2023	IPR007239	Autophagy-related protein 5	GO:0005737|GO:0006914	Reactome: R-BTA-1632852|Reactome: R-BTA-5205685|Reactome: R-BTA-8934903|Reactome: R-CEL-1632852|Reactome: R-CEL-5205685|Reactome: R-CEL-8934903|Reactome: R-DDI-1632852|Reactome: R-DDI-8934903|Reactome: R-DME-1632852|Reactome: R-DME-5205685|Reactome: R-HSA-1632852|Reactome: R-HSA-5205685|Reactome: R-HSA-8934903|Reactome: R-HSA-936440|Reactome: R-MMU-1632852|Reactome: R-MMU-5205685|Reactome: R-MMU-8934903|Reactome: R-RNO-1632852|Reactome: R-RNO-5205685|Reactome: R-RNO-8934903|Reactome: R-SCE-1632852|Reactome: R-SCE-8934903|Reactome: R-SPO-1632852|Reactome: R-SPO-8934903
sta/5NPW	7800cdf59c655d20fb292a1463db333a	583	Coils	Coil	Coil	471	506	-	T	24-01-2023	-	-
sta/5NPW	7800cdf59c655d20fb292a1463db333a	583	FunFam	G3DSA:1.20.5.170:FF:000039	Autophagy-related protein 16-1 isoform 1	401	471	1.9E-38	T	24-01-2023	-	-
